Date,Close/Last,Volume,Open,High,Low
03/26/2021,$213.6,9196199,$209.32,$216.79,$203.96
03/25/2021,$208.47,12878860,$204.6,$211.96,$202.1
03/24/2021,$213.51,9262534,$224.3,$225.9,$212.155
03/23/2021,$223.2,5591488,$226.39,$228.38,$221.49
03/22/2021,$226.13,6386095,$225.24,$230.18,$221.74
03/19/2021,$224.84,10480760,$227.19,$229.4,$219.52
03/18/2021,$224.3,12481350,$242.8,$243.4,$222.56
03/17/2021,$246.47,10154040,$235,$248.68,$232.75
03/16/2021,$243.36,7491649,$252.26,$252.5,$238.67
03/15/2021,$251.23,8889573,$243.52,$251.26,$239.6171
03/12/2021,$242.11,8850054,$232,$242.22,$230.05
03/11/2021,$241.72,11727990,$234.97,$243.49,$231.01
03/10/2021,$226.73,12973060,$231.61,$237.92,$223.205
03/09/2021,$225.09,14495530,$215.37,$226.49,$211.5
03/08/2021,$201.87,13488130,$217.71,$221.63,$201
03/05/2021,$216.44,24773610,$221.27,$222.01,$191.36
03/04/2021,$218.41,18495970,$228.76,$232.63,$210
03/03/2021,$234.2,12151700,$249,$250.95,$232.0064
03/02/2021,$252.2,17345760,$251.9,$258.4899,$246.47
03/01/2021,$241,8989220,$238.11,$241.7194,$232.1001
02/26/2021,$230.03,14913780,$226.32,$232.78,$217.4
02/25/2021,$227.11,15916270,$244.87,$245.84,$223.66
02/24/2021,$237.32,26123120,$243.11,$246,$230.68
02/23/2021,$256.59,18971870,$247.55,$261.3,$232.5
02/22/2021,$268.08,9740392,$271.85,$278.1,$266.36
02/19/2021,$276.57,7373362,$275.12,$280.9391,$273.59
02/18/2021,$270.85,7236412,$265.49,$272.79,$261.8525
02/17/2021,$270.94,11094330,$274.37,$274.47,$260.76
02/16/2021,$276.02,9193550,$277.12,$283.1898,$272.3201
02/12/2021,$272.75,6780809,$265.15,$273.84,$262.5312
02/11/2021,$265.93,10214070,$262,$269.6651,$258.5
02/10/2021,$257.49,8644634,$259.77,$263.15,$252.75
02/09/2021,$258.12,10815080,$256.58,$262.57,$250.55
02/08/2021,$259.97,17149920,$245.08,$264.2669,$244
02/05/2021,$240.38,5090772,$238,$240.57,$235.27
02/04/2021,$237.72,8893436,$233.53,$239.31,$231.07
02/03/2021,$227.94,5193375,$228.5,$234.57,$221.88
02/02/2021,$227.63,6545320,$225.19,$230.2199,$221.99
02/01/2021,$221.94,7849340,$215.81,$223.01,$213.44
01/29/2021,$215.96,9383862,$224.97,$225.9,$212.58
01/28/2021,$219.91,12500800,$208.72,$222.58,$206.56
01/27/2021,$202.46,10892750,$204.01,$209.3503,$197.7
01/26/2021,$209.17,10039510,$217.09,$219,$208.71
01/25/2021,$216.64,11328130,$225,$225.94,$209.75
01/22/2021,$222.88,6867511,$219,$222.91,$217.71
01/21/2021,$219.62,10472440,$227,$227.5,$218.2001
01/20/2021,$226.65,6012419,$230.12,$230.88,$225.5
01/19/2021,$227.26,6505627,$231.07,$231.59,$223.25
01/15/2021,$227.75,7049176,$233.63,$236.43,$225.58
01/14/2021,$232.79,6706528,$233.9,$238.76,$229.59
01/13/2021,$230.92,7601353,$228.95,$234.8213,$226.8
01/12/2021,$227.52,8452892,$228.51,$229.3299,$223.72
01/11/2021,$225.5,14107530,$231.61,$232.74,$225.3
01/08/2021,$241.45,9102059,$244.35,$246.49,$237.18
01/07/2021,$239.48,10214210,$232.52,$240.4,$231.5
01/06/2021,$226.89,12003500,$223.41,$233.5,$223.161
01/05/2021,$229.75,9699380,$219.42,$230.34,$219
01/04/2021,$221.16,9838438,$222.495,$225.98,$216
12/31/2020,$217.64,6872354,$217.71,$219.45,$214.42
12/30/2020,$221.04,9836969,$215.94,$221.51,$214.0671
12/29/2020,$214,15453080,$223.88,$224.59,$208.81
12/28/2020,$223.34,11640020,$232.38,$232.95,$219.65
12/24/2020,$228.28,8411200,$234.23,$236,$225.9
12/23/2020,$230.68,13482700,$241.36,$241.82,$230.58
12/22/2020,$241.58,9440011,$236.5,$243.38,$236
12/21/2020,$233.5,11155410,$236.09,$241.85,$232.26
12/18/2020,$235.45,8099521,$235,$236.37,$231.1
12/17/2020,$230.74,10440070,$230,$237.09,$227.7
12/16/2020,$227.08,8216471,$223.86,$227.96,$220.03
12/15/2020,$219.99,5713631,$218.415,$221.7199,$216.7301
12/14/2020,$215.86,7379020,$218.01,$220.43,$214.5008
12/11/2020,$216.59,7914599,$218.26,$222.2,$213.17
12/10/2020,$217.25,7919206,$205.39,$217.61,$203.57
12/09/2020,$207.04,11133020,$213.96,$220.5,$205.01
12/08/2020,$213.01,5373248,$213.33,$213.9,$208.25
12/07/2020,$212.58,5895304,$209.79,$213.6615,$208.25
12/04/2020,$208.15,6566152,$206.29,$209.75,$203.58
12/03/2020,$205.53,6918231,$207,$208.69,$204.05
12/02/2020,$202,10483650,$200.13,$204.0596,$195.13
12/01/2020,$203,10814390,$212.56,$212.95,$200.5
11/30/2020,$210.96,14091110,$213,$213.54,$200.23
11/27/2020,$212.52,6525960,$215,$215,$205.9
11/25/2020,$212.92,12948070,$207.45,$214.52,$204.57
11/24/2020,$202.9,12288950,$208,$208.04,$199.55
11/23/2020,$207.78,12509640,$200.11,$209.36,$199.27
11/20/2020,$195.97,10935080,$193.69,$200.99,$191.55
11/19/2020,$191.66,12280090,$190.78,$194.01,$185.74
11/18/2020,$185.54,5627316,$187.49,$187.5,$182.2703
11/17/2020,$187.9,11140670,$180.12,$190.74,$180.12
11/16/2020,$179.16,7428200,$175.83,$179.22,$173.01
11/13/2020,$177.19,6965709,$180.6,$180.9,$175.5
11/12/2020,$178.51,9151584,$184.26,$185.1899,$177
11/11/2020,$183.42,9040818,$179.65,$184,$177.7
11/10/2020,$172,14840000,$182.37,$183.46,$167.11
11/09/2020,$184.08,14985960,$191.305,$197,$181.83
11/06/2020,$198.08,27088290,$185.24,$201.33,$182.99
11/05/2020,$175.23,15519730,$177.1,$177.29,$172.65
11/04/2020,$171.29,7760592,$166.38,$171.36,$162.15
11/03/2020,$158.21,8001436,$153.22,$161.05,$151.1
11/02/2020,$155.23,8753566,$158,$161.24,$152.1
10/30/2020,$154.88,14948430,$166.49,$167.3974,$152.43
10/29/2020,$169.86,4431756,$170.08,$172.08,$168.11
10/28/2020,$167.13,5420308,$166.59,$168.9399,$164.45
10/27/2020,$171.02,6937558,$175.31,$176.26,$169.26
10/26/2020,$169.89,6489402,$175.01,$176.86,$166.77
10/23/2020,$176.77,4167570,$177.5,$177.79,$173.34
10/22/2020,$175.93,6681642,$178.5,$181.98,$173.61
10/21/2020,$177.82,10477240,$183.55,$184.74,$175.5901
10/20/2020,$185.74,4875972,$188.1,$189.7,$184.33
10/19/2020,$186.96,5454020,$188.11,$191.3999,$185.91
10/16/2020,$186.35,5299708,$191.68,$192.84,$184.7
10/15/2020,$188.6,6818697,$182.6,$188.68,$181.2
10/14/2020,$187.49,6176616,$191.59,$193.4399,$185.11
10/13/2020,$190.47,6399879,$186.81,$191.36,$186
10/12/2020,$185.17,7964706,$190.68,$191.94,$184.26
10/09/2020,$187.28,6719664,$185.12,$188.74,$183.73
10/08/2020,$183.5,7133438,$183.18,$185.3699,$181.72
10/07/2020,$180.18,7119275,$180.61,$182.75,$179.02
10/06/2020,$175.34,12543960,$180.13,$182.24,$172.61
10/05/2020,$180.92,16666740,$172.43,$181.89,$171.5
10/02/2020,$169.61,11160160,$164.05,$171.24,$163.8006
10/01/2020,$168.49,6723499,$166.14,$168.61,$164.5801
09/30/2020,$162.55,6561202,$164.47,$166.19,$161.23
09/29/2020,$164.81,12088370,$164,$167.56,$163.13
09/28/2020,$160.76,10287140,$160.49,$164.5,$158.23
09/25/2020,$157.72,8782784,$153.06,$158.98,$151.751
09/24/2020,$152.31,13213850,$151.01,$155.9227,$148
09/23/2020,$149.59,8866980,$155.87,$157.98,$147.8
09/22/2020,$155.59,11189710,$152.82,$156.34,$148.59
09/21/2020,$151.12,12662660,$140.42,$151.98,$139.3101
09/18/2020,$145.01,8886573,$147.37,$149.13,$141.64
09/17/2020,$145.64,11972190,$146.27,$147.6899,$142.24
09/16/2020,$151.05,10207730,$155.2,$159,$149.8801
09/15/2020,$154.5,18549990,$146.13,$158.5,$146.13
09/14/2020,$144.4,7754847,$140.07,$145.4,$138.81
09/11/2020,$137.45,8428436,$143.9098,$143.9098,$134.26
09/10/2020,$141.07,6711455,$147.02,$148.545,$139.82
09/09/2020,$144.21,9463558,$145.65,$145.65,$139.25
09/08/2020,$139.11,10681380,$137.01,$146.14,$136.89
09/04/2020,$146.39,17995160,$149.63,$152.22,$134
09/03/2020,$152.86,16421240,$157,$157.23,$149.51
09/02/2020,$162.88,11214780,$170.6,$170.61,$158.11
09/01/2020,$166.66,12318670,$164.81,$170.46,$162
08/31/2020,$159.56,7630240,$157,$160.7745,$156.02
08/28/2020,$155.93,6296358,$159.15,$159.15,$154.06
08/27/2020,$155.61,11617220,$156.87,$161.5399,$155.5
08/26/2020,$153.74,7689908,$156.09,$158.69,$151.73
08/25/2020,$155,6429420,$151.8,$155.74,$149
08/24/2020,$151.79,8807667,$159,$159,$150.98
08/21/2020,$155.1,8630546,$156.4,$159.47,$153.12
08/20/2020,$155.86,12428090,$150.17,$158.1,$149.82
08/19/2020,$150.37,6539856,$151.22,$152.355,$148.56
08/18/2020,$151.04,8523389,$151.97,$153.19,$147.4121
08/17/2020,$152.48,13280510,$144.49,$153.68,$143.18
08/14/2020,$141.96,6654720,$143.89,$143.9999,$139.7303
08/13/2020,$143.19,9834960,$140.9,$145.51,$140.2
08/12/2020,$139.02,10603820,$140.01,$143.42,$137.69
08/11/2020,$138.25,13157140,$137.94,$142.9475,$135.03
08/10/2020,$139.34,13066330,$147.53,$147.82,$138.66
08/07/2020,$147.22,15577280,$151.51,$153.8399,$143.35
08/06/2020,$154,19352780,$149.76,$155.89,$149.12
08/05/2020,$146.55,39629710,$153.16,$158.43,$146.2
08/04/2020,$136.83,10870280,$135.88,$137.8,$133.6
08/03/2020,$134.8,11472570,$130.26,$136.135,$130.26
07/31/2020,$129.85,8606777,$131.34,$131.9,$127.36
07/30/2020,$129.13,10192330,$128.54,$131.37,$125.33
07/29/2020,$128.55,8693399,$125.14,$128.95,$124.9
07/28/2020,$123.51,7126066,$125.2,$127.53,$123.32
07/27/2020,$125.75,9685703,$124.62,$126.77,$122.34
07/24/2020,$121.41,8059974,$119.89,$122.91,$117
07/23/2020,$122.93,11010220,$127.74,$129.8494,$121.32
07/22/2020,$129.18,8437494,$127.49,$131.71,$127.06
07/21/2020,$126.99,10787520,$129.95,$130.8,$125.07
07/20/2020,$128.39,12423990,$121.26,$129.46,$120.53
07/17/2020,$120.73,6968161,$120.98,$122.38,$118.59
07/16/2020,$119.95,11827550,$119.94,$123.3,$117.55
07/15/2020,$122.2,9606889,$124.01,$124.48,$117.66
07/14/2020,$121.24,17175130,$118.59,$121.8536,$111.14
07/13/2020,$118.65,18489530,$131.05,$133.24,$116.67
07/10/2020,$128.05,11260840,$128.39,$129.6,$125.255
07/09/2020,$129.39,21959350,$132.54,$133.81,$127.67
07/08/2020,$133.35,25627380,$127.2,$133.43,$127
07/07/2020,$125.6,28573940,$121.2,$129.84,$120.03
07/06/2020,$118.97,34424020,$118.79,$128.36,$118.03
07/02/2020,$113.39,15066350,$118,$118.78,$113.23
07/01/2020,$115.9,22480940,$106.92,$117.13,$106.54
06/30/2020,$104.94,7605064,$103.5,$105.3,$102.8875
06/29/2020,$103.68,9210828,$105.15,$105.28,$101.22
06/26/2020,$104.3,19759110,$105.03,$107.84,$102.5176
06/25/2020,$104.78,13569790,$102.46,$106.15,$101.286
06/24/2020,$100.88,13250380,$104,$105.7492,$98.93
06/23/2020,$104.75,14042840,$105,$106.36,$103.05
06/22/2020,$104.22,17116980,$99.74,$105.46,$99.25
06/19/2020,$97.98,13879790,$100.1,$102.26,$97.92
06/18/2020,$98.27,8766867,$97,$98.6499,$95.82
06/17/2020,$97.03,17113700,$94.78,$100,$94.7
06/16/2020,$94.74,13026440,$93.07,$95.8681,$92.56
06/15/2020,$91,9813033,$84.79,$91.3,$84.06
06/12/2020,$86.72,9937283,$89.02,$89.18,$84.25
06/11/2020,$86.09,14754700,$87.75,$90,$85.77
06/10/2020,$91.91,9486666,$90.26,$92.97,$89.5
06/09/2020,$89.53,7748990,$89.02,$91.6538,$87.87
06/08/2020,$89.62,8751124,$90.5,$91.23,$88.03
06/05/2020,$89.93,11127650,$90,$91.45,$88.067
06/04/2020,$87.72,13368100,$90.96,$92.9599,$86.19
06/03/2020,$91.97,17089220,$88,$92.5496,$87.09
06/02/2020,$88,18364240,$82.96,$88.27,$82.38
06/01/2020,$82.72,8709651,$81,$83.42,$80.12
05/29/2020,$81.08,8329131,$79.73,$81.95,$79.34
05/28/2020,$79.62,9942677,$81.02,$82.32,$79
05/27/2020,$81.02,11637080,$80.04,$81.14,$76.02
05/26/2020,$80.79,9682757,$83.98,$84.09,$80.5
05/22/2020,$81.49,6262001,$81.23,$82.49,$80.83
05/21/2020,$81.49,10082070,$79.5,$81.7,$78.76
05/20/2020,$82.04,10152180,$81.5,$83.1,$80.52
05/19/2020,$79.25,14225550,$76.45,$82.14,$76.25
05/18/2020,$76.63,16255260,$78.7,$81.35,$76.44
05/15/2020,$80.26,16311990,$77.75,$81.13,$76.65
05/14/2020,$78.2,16038940,$72.17,$78.25,$71.07
05/13/2020,$73.79,13970120,$75.32,$75.8,$70.82
05/12/2020,$75.21,17015470,$76,$77.39,$74.31
05/11/2020,$74.9,12720570,$75.7,$75.9027,$74.36
05/08/2020,$76.05,20041140,$72.04,$76.4,$72
05/07/2020,$74.62,31027020,$69.86,$76.8,$69.58
05/06/2020,$68.1,16202940,$67.32,$69.81,$67.12
05/05/2020,$66.69,12011490,$66,$68.59,$65.21
05/04/2020,$63.69,7556932,$61.34,$64.17,$61.09
05/01/2020,$63,10042420,$62.84,$63.9095,$61.44
04/30/2020,$65.14,10525870,$65,$66.89,$64.72
04/29/2020,$65.77,14387330,$63.44,$66.72,$63.39
04/28/2020,$61.75,11852090,$64.17,$65.025,$60.9
04/27/2020,$63.55,10241680,$63.61,$64.24,$61.81
04/24/2020,$62.01,9628491,$62.23,$62.56,$61.04
04/23/2020,$61.82,13098760,$61.31,$63.5,$60.9209
04/22/2020,$60.96,13461030,$59.35,$61.25,$58.01
04/21/2020,$57.4,15333930,$60,$60.44,$56.86
04/20/2020,$61.06,14342420,$59.44,$63.59,$59.15
04/17/2020,$61.09,14044770,$59.5,$61.44,$58.7
04/16/2020,$57.32,19879170,$58.1,$59.3,$56.63
04/15/2020,$61.38,12468780,$59.67,$61.76,$59.33
04/14/2020,$62.41,17905480,$60.02,$62.61,$59.6145
04/13/2020,$59.42,15199520,$60.1,$60.1,$56.12
04/09/2020,$59.21,30870890,$58.88,$64.94,$58.5
04/08/2020,$57.04,24785130,$51.81,$57.75,$51.81
04/07/2020,$50.31,17104990,$54.78,$54.91,$49.7
04/06/2020,$50.42,25521720,$47.22,$51.1,$46.19
04/03/2020,$43.72,18748620,$46.02,$46.68,$42.33
04/02/2020,$45.88,12871450,$46.33,$48.03,$45
04/01/2020,$46.81,16596390,$49.78,$50.01,$46.05
03/31/2020,$52.38,18349360,$54.69,$55.24,$51.135
03/30/2020,$55,12054280,$52.9,$55.44,$51.5301
03/27/2020,$53.34,14655620,$54,$54.4173,$51.48
